Gupta2011 Table 2
Properties of SN Ia Sample and Host Galaxies

SN ID	IAU	RA	Dec	redshift	redshift uncert	M -	M	M +	Age -	Age	Age +	c	c uncert	x_1	x_1 uncert	HR	HR uncert
15872	2006nb	36.7223777771	-0.3278448582	0.18460 	 0.00050	9.52	9.58	9.64	3.07	4.35	6.38	-0.027 	 0.035	0.791 	 0.460	0.0956 	 0.0857	
15897	2006pb	11.6815948486	-1.0324945450	0.17470 	 0.00050	10.70	10.78	10.87	7.12	8.12	10.12	0.073 	 0.052	-2.887 	 0.338	-0.1306 	 0.1019	
15901	2006od	31.9762687683	-0.5353427529	0.20530 	 0.00050	9.84	9.92	10.00	3.36	4.70	6.22	-0.079 	 0.030	-0.420 	 0.332	0.0116 	 0.0756	
16000	2006nj	21.1174659729	0.0743126571	0.39000 	 0.00500	9.26	9.41	9.57	1.42	2.29	4.15	-0.163 	 0.072	1.448 	 1.091	0.3161 	 0.1916	
16072	2006nv	3.1245520115	-0.9778423309	0.28670 	 0.00050	10.80	10.83	10.96	4.51	5.49	8.52	-0.044 	 0.049	0.058 	 0.691	-0.0728 	 0.1285	
16073	2006of	8.1076574326	-1.0539033413	0.15310 	 0.00050	9.68	9.73	9.78	3.62	5.08	6.40	-0.018 	 0.017	0.080 	 0.252	0.1098 	 0.0516	
16099	2006nn	26.4212512970	-1.0545672178	0.19686 	 0.00015	10.49	10.55	10.61	4.66	6.29	7.72	0.004 	 0.025	1.934 	 0.581	0.1190 	 0.0855	
16100	2006nl	30.4363574982	-1.0323493481	0.19500 	 0.00500	9.32	9.42	9.50	4.90	7.41	9.90	0.097 	 0.033	-0.355 	 0.451	0.0264 	 0.1237	
16106	2006no	332.0898742676	-1.1483064890	0.25120 	 0.00050	10.80	10.92	10.98	3.73	4.33	7.33	-0.115 	 0.044	-0.167 	 0.629	-0.0047 	 0.1344	
16185	2006ok	16.8680858612	-0.2693305314	0.09700 	 0.00500	9.59	9.64	9.69	6.42	8.58	9.56	0.178 	 0.031	-1.614 	 0.277	0.1008 	 0.1850	
16232	2006oj	17.2049808502	-0.9894958138	0.36700 	 0.00500	10.54	10.62	10.70	2.99	5.00	5.93	-0.117 	 0.082	-0.246 	 0.862	0.0913 	 0.1821	
17168	2007ik	339.7236328125	-1.1672555208	0.18400 	 0.00500	9.46	9.50	9.54	2.54	2.81	3.61	-0.016 	 0.034	0.280 	 0.382	0.0588 	 0.1338	
17332	2007jk	43.7725067139	-0.1476856470	0.18284 	 0.00015	10.43	10.55	10.64	3.91	6.66	8.68	0.088 	 0.032	-0.254 	 0.314	-0.1682 	 0.0947	
17366	2007hz	315.7849731445	-1.0311613083	0.13933 	 0.00017	10.87	10.92	10.97	3.74	5.18	6.74	-0.125 	 0.025	0.588 	 0.253	-0.0077 	 0.0689	
17389	2007ih	323.2950134277	-0.9600833058	0.17060 	 0.00050	9.82	9.90	9.97	3.68	4.99	6.84	0.063 	 0.033	1.104 	 0.406	0.2739 	 0.1036	
17497	2007jt	37.1364936829	-1.0428131819	0.14478 	 0.00010	10.33	10.39	10.43	2.98	3.91	4.63	0.057 	 0.020	0.596 	 0.180	-0.1025 	 0.0510	
17552	2007jl	322.3212585449	-1.0028200150	0.25420 	 0.00050	10.55	10.61	10.66	2.10	3.36	5.19	-0.016 	 0.039	0.766 	 0.403	0.0018 	 0.1132	
17568	2007kb	313.1032714844	0.2774721682	0.14450 	 0.00050	9.93	10.00	10.06	3.70	5.30	7.06	0.265 	 0.041	0.626 	 0.367	0.4458 	 0.0968	
17629	2007jw	30.6364746094	-1.0899255276	0.13690 	 0.00007	11.07	11.13	11.13	5.64	7.92	8.67	0.084 	 0.028	-0.502 	 0.213	-0.1519 	 0.0665	
17745	2007ju	2.9602687359	-0.3393539488	0.06360 	 0.00050	8.87	8.88	8.89	3.26	3.26	3.33	-0.056 	 0.028	0.882 	 0.274	0.0199 	 0.0981	
17791	2007kp	332.3733825684	0.7380061746	0.28620 	 0.00050	9.30	9.38	9.48	1.99	2.78	3.82	-0.214 	 0.068	-0.372 	 0.768	0.5136 	 0.1888	
17801	2007ko	316.0938110352	-0.8984486461	0.20640 	 0.00050	11.26	11.34	11.44	4.31	6.29	7.63	0.029 	 0.049	-0.306 	 0.554	0.2287 	 0.1241	
17809	2007kr	6.3649182320	-0.8392885327	0.28200 	 0.00500	9.66	9.72	9.79	2.02	2.55	3.62	0.033 	 0.037	1.674 	 0.499	-0.0922 	 0.1303	
17811	2007ix	12.8806476593	-0.9462078214	0.21320 	 0.00050	9.97	10.10	10.21	5.71	8.21	10.21	-0.150 	 0.030	0.817 	 0.365	-0.0017 	 0.0966	
