SNID,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,redshift
15365,354.556618168,1.24905981928,20.62654,19.11713,18.10424,17.62473,17.26528,0.1135234,0.01542964,0.009440884,0.009090147,0.02113295,0.1879922
15383,34.1496932546,-0.155285346814,23.03376,21.57556,20.22823,19.686,19.39019,0.5638565,0.06504106,0.02970399,0.02652338,0.08486363,0.3160464
15419,19.9052196858,0.885688760309,24.11832,23.0193,22.04378,21.50326,21.33743,0.6316292,0.1629137,0.1027504,0.0972968,0.2859188,0.2777789
15421,33.7413200054,0.602716237483,20.39871,19.49338,18.89788,18.59686,18.55008,0.08121447,0.02004728,0.01707548,0.0204254,0.06043803,0.1853683
15425,55.5610761212,0.478357705445,21.65033,19.66519,18.67096,18.2415,17.96537,0.1491307,0.01587913,0.01010963,0.01050846,0.02311112,0.1598923
15433,14.8793923403,-0.25672035045,22.89902,20.24634,19.11532,18.61692,18.25671,0.4548638,0.02596329,0.0153511,0.01398726,0.03545898,0.2207257
15440,39.7206045448,0.0901050306108,22.33752,20.92472,19.75747,19.21784,18.91232,0.3229613,0.04391437,0.02342204,0.02095248,0.06567531,0.2622633
15443,49.8674396937,-0.318010567152,20.89535,19.73092,18.97429,18.62114,18.37915,0.1347577,0.02167301,0.01776268,0.01891345,0.0701528,0.1819083
15459,340.701448831,-0.901774718132,21.87786,20.7696,20.35241,20.22732,20.21357,0.2179196,0.03781286,0.03597826,0.04876509,0.1884158,0.1267946
15461,326.848227059,-0.49474951917,21.41769,19.88201,19.02201,18.5571,18.3778,0.223857,0.0284331,0.02228073,0.02739852,0.0643513,0.1862115
15467,320.020099128,-0.177351533968,20.37204,19.23989,18.5768,18.26406,18.10176,0.07747072,0.01508557,0.01404471,0.01620945,0.05042912,0.210412
15483,319.792012845,0.696976431325,21.98479,20.35485,18.69472,18.0883,17.75885,0.2902924,0.03364462,0.01267547,0.01117778,0.02715901,0.3165769875049591
15535,1.81776140633,-0.30374516366,22.70166,21.21049,20.05272,19.51633,19.16506,0.3421151,0.05155268,0.02867997,0.02495337,0.06746599,0.2008241
