cid	redshift	err_redshift	mu	err_mu	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z
6896	0.33504000306129456	6.900000153109431e-05	41.11330032348633	0.21555200219154358	24.022329230178073	22.78839254493592	21.400717259515808	20.907553802224616	20.53222866500718	0.3765748739278616	0.04383503930129805	0.02128234165620548	0.02184578500933288	0.04850174997424468
6903	0.25328201055526733	2.9400000130408444e-05	40.02539825439453	0.12387199699878693	23.88604200888153	21.767189531162625	20.368914253707327	19.81035140907905	19.444421688123978	0.4296857299975658	0.02014344410173896	0.00944611498839858	0.008903840384071063	0.01876780264787455
6936	0.18021200597286224	2.6699999580159783e-05	39.592899322509766	0.0745697021484375	23.395207963778105	23.036631295884508	22.2924214129036	21.95704247691802	21.525980812784073	0.2659780903616021	0.050046802034223486	0.02862530166775869	0.025207505004406217	0.07647094302350352
6962	0.09422019869089127	1.4899999769113492e-05	38.03010177612305	0.06736390292644501	21.843174789903756	20.114692786093634	19.13315089843041	18.693102196491104	18.316306221429393	0.05163329642721018	0.00506145160650943	0.0029296575579554384	0.0029449472925753557	0.006093948125888357
703	0.2980419993400574	2.029999996011611e-05	40.6879997253418	0.13561399281024933	24.469444772352595	24.181163019957207	23.207189087372736	22.961363835735803	22.95588952394642	0.6124806872254425	0.11532518645954012	0.06377911567306074	0.07079695218894626	0.24649761195200276
7143	0.3051370084285736	2.9200000426499173e-05	40.91510009765625	0.11716700345277786	24.847904434119428	25.608043742149675	25.292299480439063	25.122698250599797	24.082538449843103	0.5939447517051295	0.39984827058546735	0.2838413466800993	0.3078763533443034	0.4685633118369403
7147	0.11021699756383896	1.9799999790848233e-05	38.248199462890625	0.07908099889755249	22.878617808760563	21.05430887686653	20.004494567773918	19.57149665465486	19.19560573329877	0.1443410426778372	0.010036150663618782	0.004831165800486256	0.004141031738637632	0.010067683883689995
7373	0.2800619900226593	1.610000072105322e-05	40.865699768066406	0.11972600221633911	22.94052720733115	22.478388177257493	21.796823403556527	21.53246210914418	21.11771568207203	0.1752880723962815	0.03092472181479013	0.019183060772927897	0.02045874366851062	0.049699428277941514
7444	0.2503550052642822	2.8399999791872688e-05	40.66019821166992	0.12733300030231476	24.44783285056453	23.42073963887509	22.445760222409486	22.004110767845543	21.765363996970876	0.5349561459349843	0.06108051652234159	0.032995912955709465	0.02778257478423471	0.07975441504082187
7600	0.18807700276374817	3.270000161137432e-05	39.4031982421875	0.09766270220279694	24.12791518973904	22.063866148718287	20.766720608966963	20.247445393105586	19.881696180361196	0.7063245027623504	0.023651680686032232	0.009118487657148353	0.008093260191123379	0.02011387323262714
762	0.19138100743293762	2.409999979136046e-05	39.89580154418945	0.08214540034532547	24.65394427724391	23.82255491887339	22.95361668199279	22.613364261969778	22.179238577001566	0.7926700445631036	0.09080151388396199	0.042879995740405755	0.042785508038313325	0.1359896279417284
7644	0.3100619912147522	1.1299999641778413e-05	41.17219924926758	0.16226699948310852	22.79504272442985	22.30010500217826	21.606827119918005	21.355396324873468	21.032421444711332	0.11885417290250719	0.029997660090224608	0.021357453047867386	0.02311096835080164	0.07205480971135385
779	0.23812100291252136	2.1300000298651867e-05	40.17470169067383	0.10082200169563293	23.452623254049307	22.208560198327184	21.5216003850815	21.289696570085425	21.072623893268187	0.23037740397649317	0.01937589878990345	0.011567747552316229	0.012544323449734848	0.03893231598126784
7847	0.21265900135040283	8.540000271750614e-05	39.82279968261719	0.08152409642934799	24.97254144150897	22.87692399218496	21.879200532931243	21.419123722785223	21.143124085073627	0.7562834895656788	0.03533931715565042	0.0156665387381222	0.01333689801692512	0.03737948954344878
7876	0.07602299749851227	1.049999991664663e-05	37.58789825439453	0.06500960141420364	22.37554619896048	21.620175149600517	21.289696570085425	20.99814421762941	20.90479812509873	0.08225678270331112	0.016701588158924807	0.011514492361210877	0.011674663472433754	0.03458117975357642
7882	0.3359239995479584	0.009999999776482582	41.099998474121094	0.14657899737358093	24.867311829864953	24.55549435754277	23.232136301274696	22.860129593840814	22.37421384365184	0.9259056740065061	0.18992441109201735	0.06174024256246228	0.05841144125367987	0.15754759350868516
8195	0.26876100897789	3.1600000511389226e-05	40.57630157470703	0.1816219985485077	23.754950046294027	21.778207667543022	20.351415440317055	19.700587694831345	19.22434854980075	0.4318247407550706	0.0180879129734461	0.006484659707900667	0.005015629206763098	0.011412085721891526
8213	0.18611200153827667	6.420000136131421e-05	39.438201904296875	0.09009689837694168	25.21125083468403	23.954157754572524	22.698611155209306	22.054502001925968	21.689635448472448	1.4351768969552927	0.13237902013027433	0.041110051403705626	0.03189957641606198	0.09188852434054309
8216	0.29134899377822876	3.9599999581696466e-05	40.68349838256836	0.16472700238227844	24.1851085938948	23.7521040782038	22.634479723251918	22.371554028003246	22.21498062120409	0.4021924908797179	0.08880109465268715	0.03587532347392822	0.03620891722743652	0.12131451980722584
822	0.23755599558353424	0.00014340000052470714	40.3922004699707	0.13106100261211395	24.11659076320284	23.703923577149	22.666071999780915	22.134338229135324	21.755829977815857	0.5485671571647824	0.06407474931252068	0.031582519126853933	0.027052660205084563	0.07949409126150277
8254	0.18919500708580017	1.7899999875226058e-05	39.78879928588867	0.1084590032696724	23.81049105915016	22.893122948256362	22.236582246582948	21.932477667216673	21.750719206789363	0.36811056223935845	0.03846890500798483	0.027424927038942382	0.02785257311683575	0.08454945749207643
8495	0.21498100459575653	1.5600000551785342e-05	40.05139923095703	0.10272400081157684	23.060418343982686	22.11928335057882	21.031647852797764	20.5085670329698	20.165723616590128	0.2750164295301049	0.025606191330215	0.010022180351613503	0.007623559097201824	0.02088222183999033
8555	0.1977040022611618	1.5300000086426735e-05	40.00669860839844	0.1021059975028038	23.04647931083688	22.298862029856178	21.627647371236264	21.303515217407973	21.114372380878265	0.12588604287514532	0.019920899061214376	0.012142732323284595	0.0110758999844951	0.03211308928446796
859	0.27829599380493164	1.9299999621580355e-05	40.372398376464844	0.11779599636793137	23.36627122979147	23.301816924464998	22.651191557519358	22.339876294418026	22.14592982896786	0.19935046401736423	0.050500813673764286	0.034046542717106776	0.03300039462656007	0.11403359383704942
8719	0.11756599694490433	7.000000096013537e-06	38.62160110473633	0.060766398906707764	23.329706603287875	22.750830681087308	22.362032285278836	22.124137461630326	21.832127251535496	0.22401736359557145	0.03477219004135161	0.02804533247798709	0.02578438405611065	0.08212930856596778
