GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
17899,0.288817,6.13049e+09,-18.7892,-19.5184,-19.9780,-20.0894,-20.2884
1794,0.142767,6.92030e+08,-16.8970,-18.4285,-18.7509,-18.7376,-18.8577
17949,0.263954,1.45885e+10,-18.5459,-19.3464,-20.2255,-20.4422,-20.4173
18011,0.284038,3.18953e+10,-19.3436,-20.6495,-21.3269,-21.6369,-22.0726
18049,0.288612,1.32706e+10,-18.8591,-19.8566,-20.3379,-20.6265,-20.6585
18189,0.285774,6.99507e+10,-19.4247,-21.3771,-22.0626,-22.4361,-22.8028
18201,0.293032,8.34942e+10,-20.5101,-21.6544,-22.3065,-22.6375,-23.0230
18273,0.316223,1.93995e+10,-19.7183,-20.7265,-21.2213,-21.3696,-21.7717
18283,0.299104,6.82673e+10,-19.4518,-21.2505,-21.9535,-22.3393,-22.6949
18301,0.331558,1.04991e+11,-19.5506,-21.4698,-22.2926,-22.7369,-23.1471
18324,0.266946,1.75118e+09,-15.9886,-18.6622,-19.0349,-19.1650,-19.4228
18333,0.254015,2.89372e+10,-19.4948,-20.5199,-21.1173,-21.4455,-21.6977
18362,0.236310,2.98635e+10,-19.1793,-20.4347,-21.1177,-21.4379,-21.7596
18363,0.308526,7.13902e+09,-19.0586,-19.8222,-20.2654,-20.3526,-20.8013
18375,0.110533,1.69785e+10,-18.2615,-19.7217,-20.3875,-20.6872,-20.9567
18456,0.219935,4.03367e+10,-19.0903,-20.6581,-21.3555,-21.6537,-21.9749
18588,0.251307,5.49295e+09,-18.7028,-19.5455,-19.8920,-20.0571,-20.1849
18602,0.138333,2.18574e+09,-16.9336,-17.6591,-18.2279,-18.4939,-18.7974
18604,0.176261,1.14603e+09,-15.8667,-15.4180,-16.4637,-18.1278,-17.8592
18612,0.114830,6.46378e+10,-19.5648,-21.0834,-21.8216,-22.1704,-22.4767
18617,0.327388,9.03363e+09,-18.7082,-19.8908,-20.3753,-20.5376,-20.7907
18650,0.113721,8.49876e+08,-16.4953,-17.3959,-17.7932,-17.9546,-18.2003
18697,0.107262,2.05264e+10,-18.7573,-20.1108,-20.7500,-21.0688,-21.4051
18749,0.190626,9.22245e+10,-19.5506,-21.2583,-22.0441,-22.4127,-22.7255
18804,0.198426,1.44048e+10,-19.4048,-20.2833,-20.8123,-20.9024,-21.0787
18827,0.298711,8.95998e+09,-19.2328,-21.2302,-22.1674,-20.6277,-22.5364
18835,0.123186,3.61919e+10,-18.6025,-20.1619,-20.9960,-21.4016,-21.7625
18940,0.212394,1.16201e+10,-19.0993,-20.2180,-20.6949,-20.8437,-20.9951
18965,0.205903,3.05617e+10,-19.1355,-20.4215,-21.0799,-21.3453,-21.6113
18971,0.271364,8.73950e+10,-19.7353,-21.3655,-22.1160,-22.4866,-22.8084
18972,0.331027,1.77289e+11,-21.1419,-21.9905,-22.7852,-23.1823,-23.5056
19027,0.292623,1.25523e+09,-18.4558,-19.1372,-19.5276,-19.3881,-19.6591
19051,0.277738,1.26974e+11,-20.0337,-21.6337,-22.3977,-22.7481,-23.0305
19149,0.211280,2.84307e+09,-18.0563,-19.1483,-19.5280,-19.6271,-19.7584
19155,0.0768839,2.40064e+10,-18.4213,-20.0026,-20.7630,-21.1710,-21.5895
19246,0.335255,5.82799e+10,-18.1049,-20.9944,-21.6660,-22.0465,-22.2964
19274,0.254650,9.63008e+09,-17.9807,-19.1910,-19.8380,-20.2086,-20.4769
19353,0.154034,4.64547e+10,-19.2157,-20.5939,-21.3807,-21.7820,-22.2075
19414,0.291782,8.55709e+10,-19.3051,-21.0859,-21.9345,-22.3760,-22.7238
19425,0.211382,2.12831e+10,-16.4816,-19.5517,-20.4029,-20.8074,-21.1966
