#SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
#		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
15704	1237657587097731442	40.2121247649	0.659823047504	1.912145	23.21659	21.33464	20.15233	19.6263	19.22649	0.5989652	0.05980885	0.0296033	0.02820366	0.066259	0.3706123
15776	1237680000914228021	32.8302938273	-0.998102718998	2.306511	23.14426	21.00639	19.41827	18.82437	18.46391	0.8009404	0.04814964	0.01899451	0.01771959	0.04554904
15872	1237663783676609084	36.7223886724	-0.32784976199	1.460481	22.92706	21.56108	20.83319	20.50521	20.34029	0.3545935	0.05616113	0.04396787	0.04631618	0.1539067	0.2064652
15897	1237657189836587309	11.6815976116	-1.03249057577	1.889643	21.96253	20.1889	18.88095	18.39968	17.99728	0.2382974	0.02489079	0.01277073	0.01209082	0.0281609	0.174905
15901	1237666407382647396	31.9763074546	-0.535345761852	3.909087	22.22333	20.62304	19.94256	19.5742	19.63536	0.5031905	0.04958784	0.04649368	0.0465816	0.1794566	0.2048369
16000	1237663784206664143	21.115284114	0.076291496	0.8289146	21.74073	21.08399	22.16553	21.98439	19.93372	0.7235602	0.1813568	0.7602929	0.9482993	0.6072462
16072	1237657189832851840	3.12457199168	-0.977832428796	2.425387	23.13761	21.2374	19.72687	19.16844	18.80753	0.6487933	0.06199798	0.02515444	0.02250619	0.05811596	0.2858861
16073	1237663782590349551	8.10767400848	-1.05390438816	2.239065	21.16495	20.3121	19.8151	19.45468	19.14653	0.1110927	0.03051502	0.02780641	0.0270719	0.0706811	0.1547316
16099	1237663782598345186	26.4212411707	-1.05458958753	4.104086	21.46013	20.1729	19.16602	18.7595	18.37184	0.1978607	0.03508463	0.02096479	0.02149524	0.05128407	0.1969484
16100	1237657069549847028	30.436329741	-1.032374812	0.8264415	26.1711	22.81351	22.2105	21.65281	21.74877	0.44904	0.1590817	0.1220144	0.1156779	0.4859869
16106	1237656567046865253	332.089891876	-1.1482891103	2.025374	21.49208	19.97534	18.76128	18.26247	17.97289	0.1751886	0.0232361	0.01192294	0.0114012	0.03070125
16185	1237663783667893113	16.8681005404	-0.269343622389	1.628755	22.38743	20.68722	19.77323	19.39095	19.06293	0.2335301	0.02973523	0.020231	0.01905633	0.05072315	0.1013589
16232	1237666338115486132	17.204981633	-0.989523347751	1.782955	23.35014	22.60507	21.12882	20.55204	20.24357	0.6167054	0.1508732	0.05828025	0.05386439	0.1560253	0.3757563
17168	1237660024494883496	339.723619133	-1.16723286854	3.044468	21.47048	20.40009	19.83642	19.58957	19.49631	0.2337051	0.04237656	0.03714581	0.04419122	0.1513507	0.1851818
17332	1237660339089899929	43.7725223539	-0.147688477957	2.629953	21.8895	20.08017	19.02557	18.55308	18.28141	0.3245643	0.03047989	0.02058633	0.02140934	0.06639881	0.1828572
17366	1237663542066020598	315.784978441	-1.03116435823	5.980696	19.53717	18.05023	17.25018	16.8001	16.56814	0.07977352	0.01075787	0.007299236	0.007414006	0.02084268	0.1392888
17389	1237666185626256736	323.295060079	-0.960058468237	2.651613	21.73851	20.54003	19.87571	19.49723	19.26836	0.2500954	0.03681113	0.02915151	0.03515209	0.1054045	0.1708999
17497	1237663237122687153	37.1365006201	-1.04282650842	5.000409	19.86281	18.6871	18.03481	17.7063	17.54852	0.06781603	0.01305952	0.01029424	0.01132474	0.03426053	0.1447343
17552	1237657189814960898	322.321267416	-1.00281512894	3.233985	22.40234	21.09178	20.01847	19.49027	18.9835	0.3887701	0.05988229	0.03727405	0.03504952	0.08669943	0.2533377
17568	1237663543675455376	313.103669107	0.277314761498	3.859739	21.72109	20.35861	19.69447	19.17582	19.04159	0.2510627	0.03270929	0.03614781	0.03385987	0.1169746
17629	1237663782600180017	30.636482371	-1.0899494363	4.705567	19.33454	17.86635	17.01183	16.56474	16.24112	0.04045395	0.007292795	0.005220298	0.005052782	0.01097271	0.1368154
17745	1237663783661797781	2.96027110315	-0.339348791455	3.829761	20.57786	19.35691	19.13002	18.9081	18.81024	0.1033086	0.0188924	0.02705773	0.02739421	0.1028052	0.06341191
17791	1237663544220779290	332.373364819	0.737990980052	2.131244	23.21896	22.92065	21.93782	22.0234	22.06929	0.513679	0.1931057	0.1394685	0.2373482	0.7164055
17801	1237663542066152304	316.093801800	-0.898447809	5.701737	20.02701	18.75342	17.62479	17.15819	16.80925	0.09745959	0.01705148	0.01066713	0.01078867	0.02818701
17809	1237663783126434560	6.36492388627	-0.839299918864	2.200323	22.58568	21.58923	20.89653	20.54173	20.45429	0.3744049	0.07725525	0.06549089	0.07223479	0.2203914	0.2889781
17811	1237657189837112031	12.8806069429	-0.946205320346	1.147445	24.89551	24.0605	22.54391	21.83336	21.26577	0.9085172	0.4666708	0.1782031	0.1473604	0.3503143
17875	1237678617426985715	20.9837307413	1.25508051858	2.10276	22.26923	21.26346	20.10038	19.4797	19.0833	0.307843	0.05880799	0.03248988	0.02681312	0.07019139	0.2323741
17884	1237678617429934631	27.5993375313	1.17235156458	2.521523	21.93914	20.50513	19.60212	19.28522	18.77657	0.3444695	0.04668895	0.03013226	0.03587648	0.08462937	0.2389854
18091	1237663784744517908	23.3679004287	0.524610111499	2.389998	21.13767	20.36583	19.36181	18.97578	18.6021	0.1183782	0.03315561	0.02143531	0.02269734	0.04911513	0.3710418
18241	1237656567575150849	312.387540826	-0.761967394223	2.473871	21.3317	21.11976	19.5841	19.20459	19.583	0.2010471	0.07040887	0.02866432	0.02822022	0.1525065
18323	1237657191980466833	3.4286627877	0.652321749237	1.956084	22.94199	21.15197	20.69444	20.25058	20.24566	0.4548156	0.04704316	0.04529073	0.04708305	0.1606883	0.1540543
18375	1237657190910263423	11.5163981332	-0.0106771298027	2.404521	20.47581	18.99098	18.17496	17.80427	17.52045	0.07583167	0.01052739	0.008178961	0.00816783	0.02106299	0.1105329
18415	1237678617407979650	337.477514386	1.05846859928	2.987649	20.93438	18.74436	17.63195	17.14851	16.75078	0.1217804	0.01169368	0.006792123	0.006412951	0.01309396	0.130779
18485	1237663783144653377	47.959020493	-0.692644421283	3.207483	21.48854	20.45189	19.28364	18.87724	18.48596	0.1951076	0.04054406	0.02182648	0.02235475	0.05596079
18486	1237645943978394148	55.1812195004	1.00452553443	1.409858	24.53658	23.22189	22.14915	21.93489	21.27962	0.7405898	0.1880787	0.1070944	0.1336172	0.2564292
18602	1237663479798104844	338.983657649	0.60908083857	2.267069	22.12222	21.5463	20.86587	20.52316	20.22121	0.2624645	0.07687235	0.06217256	0.07317581	0.1901796	0.1383328
18604	1237663479798956397	340.92069295	0.420498484315	2.014508	21.70114	19.56483	18.26293	17.76919	17.43394	0.1764625	0.01587499	0.008403083	0.008374461	0.04299584
18612	1237663784739668118	12.2880200749	0.596611969687	5.552385	19.36209	17.75431	16.87933	16.42729	16.13127	0.05254259	0.007894256	0.005710723	0.005834108	0.01222767	0.1148299
18617	1237663278458405419	345.761419321	0.84938344214	3.082241	22.77598	21.84737	20.88876	20.63168	20.263	0.6672189	0.1249246	0.086323	0.1077096	0.2949204	0.3273875
18650	1237663479256646245	328.447231853	0.0150344471961	1.763469	22.08381	21.20931	20.8066	20.49407	20.32584	0.2338015	0.04595681	0.0486057	0.05329907	0.196172	0.1137208
